170,"P 39","vl2","P",39,168600,186000,""
171,"P 40","vl2","P",40,169970,185030,""
172,"P 41","vl2","P",41,170030,183700,""
173,"P 42","vl2","P",42,170030,183100,""
174,"P 43","vl2","P",43,170200,182900,""
175,"P 44","vl2","P",44,170230,182460,""
176,"P 45","vl2","P",45,170220,181980,""
177,"P 46","vl2","P",46,170300,181640,""
178,"C  1","vl2","C",1,170700,180850,""
179,"C  2","vl2","C",2,170900,180380,""
180,"C  3","vl2","C",3,171370,180030,""
181,"C  4","vl2","C",4,171630,179530,""
182,"C  5","vl2","C",5,172150,179300,""
183,"C  6","vl2","C",6,172280,179370,""
184,"C  7","vl2","C",7,172530,179020,""
185,"C  8","vl2","C",8,173000,178610,""
186,"C  9","vl2","C",9,173220,178630,""
187,"C 10","vl2","C",10,173290,178080,""
188,"C 11","vl2","C",11,173700,177730,""
189,"C 12","vl2","C",12,173750,177650,""
190,"C 13","vl2","C",13,173750,178560,""
191,"C 14","vl2","C",14,173880,177940,""
192,"C 15","vl2","C",15,173900,177780,""
193,"Bb  1","atk","Bb",1,165730,157020,""
194,"Bb  2","atk","Bb",2,165920,156800,""
195,"Bb  3","atk","Bb",3,166100,156570,""
196,"Bb  4","atk","Bb",4,166230,156110,""
197,"Bb  5","atk","Bb",5,165900,156140,""
198,"Bb  6","atk","Bb",6,165650,156320,""
199,"Bb  7","atk","Bb",7,165480,156630,""
200,"Bb  8","atk","Bb",8,165480,156780,""
201,"Do  1","atk","Do",1,170810,179480,""
202,"Do  2","atk","Do",2,171040,179080,""
203,"Do  3","atk","Do",3,170800,178500,""
204,"Do  4","atk","Do",4,170430,179190,""
205,"GH  1","atk","GH",1,163410,195830,""
206,"GH  2","atk","GH",2,163730,195370,""
207,"GH  3","atk","GH",3,163470,195120,""
208,"GH  4","atk","GH",4,163910,194430,""
209,"GH  5","atk","GH",5,163820,194410,""
210,"GH  6","atk","GH",6,163300,194830,""
211,"GH  7","atk","GH",7,163300,194970,""
212,"GH  8","atk","GH",8,163220,195580,""
213,"Ha  1","atk","Ha",1,168800,185750,""
214,"Ha  2","atk","Ha",2,168560,185630,""
215,"Ha  3","atk","Ha",3,168150,185460,""
216,"Ha  4","atk","Ha",4,168200,185220,""
217,"Ha  5","atk","Ha",5,168330,185000,""
218,"Ha  6","atk","Ha",6,169160,184850,""
219,"Ha  7","atk","Ha",7,169250,184970,""
220,"Ha  8","atk","Ha",8,169200,185090,""
221,"He  1","atk","He",1,171710,177990,""
222,"He  2","atk","He",2,172190,177830,""
223,"He  3","atk","He",3,172190,177720,""
224,"He  4","atk","He",4,172250,177210,""
225,"He  5","atk","He",5,171720,177090,""
226,"He  6","atk","He",6,171500,176700,""
227,"He  7","atk","He",7,171000,176900,""
228,"He  8","atk","He",8,170830,177410,""
229,"He  9","atk","He",9,170620,177920,""
230,"He 10","atk","He",10,170900,177860,""
231,"Ib  1","atk","Ib",1,162770,200040,""
232,"Ib  2","atk","Ib",2,163040,199900,""
233,"Ib  3","atk","Ib",3,163770,199440,""
234,"Ib  4","atk","Ib",4,163810,199210,""
235,"Ib  5","atk","Ib",5,163730,198680,""
236,"Ib  6","atk","Ib",6,163420,198460,""
